Date,Day,Week,Court,Team 1,Team 2,Notes
July 23 2026,Thursday,11,5,Bocce Mammas,Let's Roll,
July 23 2026,Thursday,11,6,Wonder Women,Bocce Bellas,
July 28 2026,Tuesday,12,1,Let's Roll,Wonder Women,
July 28 2026,Tuesday,12,2,Viva La Bocce,Roll Models,
July 28 2026,Tuesday,12,3,Donne Vere,Donne Dolci,
July 28 2026,Tuesday,12,4,Bocce Stars,La Bocce Vita,
July 28 2026,Tuesday,12,5,D'Bocceri,Bocce Mammas,
July 28 2026,Tuesday,12,6,Quattro Amici,Bocce Babes,
July 30 2026,Thursday,12,1,Bocce Stars,Bocce Mammas,
July 30 2026,Thursday,12,2,D'Bocceri,Cannoli Hope,
July 30 2026,Thursday,12,3,Dolls With Balls,Bocce Babes,
July 30 2026,Thursday,12,4,Limoncello Sorellas,Wonder Women,
July 30 2026,Thursday,12,5,Quattro Amici,La Bocce Vita,
July 30 2026,Thursday,12,6,Bocce Bellas,Movin Balls,
August 6 2026,Thursday,13,1,Bocce Bellas,Dolls With Balls,
August 6 2026,Thursday,13,2,Donne Dolci,Limoncello Sorellas,
August 6 2026,Thursday,13,3,La Bocce Vita,Movin Balls,
August 6 2026,Thursday,13,4,Viva La Bocce,Cannoli Hope,
August 6 2026,Thursday,13,5,Roll Models,Bocce Stars,
August 6 2026,Thursday,13,6,Quattro Amici,Donne Vere,
August 11 2026,Tuesday,14,1,Bocce Babes,Roll Models,
August 11 2026,Tuesday,14,2,Bocce Mammas,Viva La Bocce,
August 11 2026,Tuesday,14,3,D'Bocceri,Quattro Amici,
August 11 2026,Tuesday,14,4,Let's Roll,Donne Vere,
August 11 2026,Tuesday,14,5,Wonder Women,Movin Balls,
August 11 2026,Tuesday,14,6,Bocce Stars,Donne Dolci,
August 13 2026,Thursday,14,2,Bocce Bellas,Cannoli Hope,
August 13 2026,Thursday,14,3,La Bocce Vita,Donne Dolci,
August 13 2026,Thursday,14,5,Viva La Bocce,Dolls With Balls,
August 13 2026,Thursday,14,6,Donne Vere,Limoncello Sorellas,
August 20 2026,Thursday,15,1,Cannoli Hope,Roll Models,
August 20 2026,Thursday,15,2,Bocce Bellas,Bocce Mammas,
August 20 2026,Thursday,15,3,Bocce Babes,Limoncello Sorellas,
August 20 2026,Thursday,15,4,Wonder Women,Dolls With Balls,
August 20 2026,Thursday,15,5,Movin Balls,Donne Vere,
August 20 2026,Thursday,15,6,D'Bocceri,La Bocce Vita,
August 25 2026,Tuesday,16,1,D'Bocceri,Donne Vere,
August 25 2026,Tuesday,16,2,Bocce Babes,La Bocce Vita,
August 25 2026,Tuesday,16,3,Wonder Women,Cannoli Hope,
August 25 2026,Tuesday,16,4,Roll Models,Bocce Bellas,
August 25 2026,Tuesday,16,5,Viva La Bocce,Let's Roll,
August 25 2026,Tuesday,16,6,Quattro Amici,Donne Dolci,
